Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00389149427597424,-0.00015148839135587,0.112944596542907,0,0,0,3.67445198488708,0.0467940450417197,1.74530794036868E-06,0.000606132979302621,0.0828124045585349,1.60675930800614E-06,0.110099728852575,0,0,0,0,0,0,package://motar_mini/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://motar_mini/meshes/base_link.STL,,KASA-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Dolap,0.03002,-0.00030148,0.2813,0,0,0,10,0.35346,0.00024128,0.010985,0.23737,0.00029637,0.25603,0,0,0,0,0,0,package://motar_mini/meshes/Dolap.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://motar_mini/meshes/Dolap.STL,,Dolap-1,Origin_dolap,Axis_dolap,dolap,fixed,0,0,0.171,0,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
Kapak,-0.0014014,0,-0.0050004,0,0,0,2,0.021226,1.4868E-17,1.1211E-07,0.020927,-4.3961E-19,0.042127,0,0,0,0,0,0,package://motar_mini/meshes/Kapak.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/Kapak.STL,,Kapak2-1,Origin_kapak,Axis_kapak,kapak,fixed,0.00191317694878623,0.151913176948787,0.371,-1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Mentese1,-0.0154754052408295,0.00933777170795674,-6.66133814775094E-16,0,0,0,0.0127812784020722,2.52199247458237E-06,4.24420237515516E-08,-6.58221996770705E-09,2.52199247458237E-06,6.58221996772159E-09,5.0301214650179E-07,0,0,0,0,0,0,package://motar_mini/meshes/Mentese1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://motar_mini/meshes/Mentese1.STL,,Assemblage1-1,Mentese1,Axis_mentese1,mentese1,fixed,-0.185086823051214,0.161813176948787,0.471,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
Mentese2,-0.01547540524083,0.00933777170795688,-2.22044604925031E-16,0,0,0,0.0127812784020723,2.52199247458239E-06,4.24420237515519E-08,-6.58221996771817E-09,2.52199247458239E-06,6.58221996765862E-09,5.03012146501795E-07,0,0,0,0,0,0,package://motar_mini/meshes/Mentese2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://motar_mini/meshes/Mentese2.STL,,Assemblage1-2,Mentese2,Axis_mentese2,mentese2,fixed,0,0,-0.2,0,0,0,Mentese1,0,0,0,,,,,,,,,,,,
Wheel1,0.013121,0,0,0,0,0,0.2,0.00032266,1.7298E-20,2.6631E-20,0.00016712,-2.987E-17,0.00016712,0,0,0,0,0,0,package://motar_mini/meshes/Wheel1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://motar_mini/meshes/Wheel1.STL,,Wheel 12mm-1,Origin_wheel1,Axis_wheel1,wheel1,continuous,-0.07,0.125,0.06,-2.2201,0,1.5708,base_link,-1,0,0,,,,,,,,,,,,
US1,-0.0074954,-1.8887E-05,4.9384E-05,0,0,0,0.02,9.3681E-07,-3.9566E-10,-2.8114E-09,1.74E-07,1.6556E-09,8.8636E-07,0,0,0,0,0,0,package://motar_mini/meshes/US1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/US1.STL,,Ultrasonic HCSR04-2,US3,Axis_us1,us1,fixed,0.21,-0.08667,0.1,0,0,0,base_link,0,0,0,,,,,,,,,,,,
US2,-0.0074954,-1.8887E-05,4.9384E-05,0,0,0,0.02,9.3681E-07,-3.9566E-10,-2.8114E-09,1.74E-07,1.6556E-09,8.8636E-07,0,0,0,0,0,0,package://motar_mini/meshes/US2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/US2.STL,,Ultrasonic HCSR04-3,US2,Axis_us2,us2,fixed,0.21,0,0.1,0,0,0,base_link,0,0,0,,,,,,,,,,,,
US3,-0.0074954,-1.8887E-05,4.9384E-05,0,0,0,0.02,9.3681E-07,-3.9566E-10,-2.8114E-09,1.74E-07,1.6556E-09,8.8636E-07,0,0,0,0,0,0,package://motar_mini/meshes/US3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/US3.STL,,Ultrasonic HCSR04-4,US1,Axis_us3,us3,fixed,0.21,0.08667,0.1,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,-0.0074835,0.010668,9.1926E-05,0,0,0,5,0.00061492,0.00015824,8.0198E-07,0.0010982,3.0916E-06,0.0009607,0,0,0,0,0,0,package://motar_mini/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/Lidar.STL,,rplidar_main-1,Origin_lidar,Axis_lidar,lidar,fixed,0,0.00944754509525184,0.8256,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
SWheel1,4.839E-08,0.0155,0.022137,0,0,0,0.002,1.3179E-07,-2.0283E-12,5.5707E-13,1.4756E-07,-1.059E-12,2.6348E-07,0,0,0,0,0,0,package://motar_mini/meshes/SWheel1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/SWheel1.STL,,Caster_40mm_Swivel_plate_01-1,Origin_splate1,Axis_splate1,splate1,fixed,0.168499999999998,0.121172061470591,0.0150000000000028,0,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
SWhSup1,-0.00046958,-0.0066637,0.011394,0,0,0,0.003,2.9995E-07,-9.3755E-09,-1.2195E-08,2.9321E-07,-9.2072E-08,3.2439E-07,0,0,0,0,0,0,package://motar_mini/meshes/SWhSup1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/SWhSup1.STL,,Caster_40mm_Wheel_support_01-1,Origin_swhsup1,Axis_swhsup1,swhsup1,continuous,0,0.0155000000000001,0,0,0,0,SWheel1,0,0,1,,,,,,,,,,,,
SWh1,-1.8715E-07,-2.7756E-17,1.4278E-06,0,0,0,0.006,7.3808E-07,-4.8488E-13,1.2219E-11,4.3737E-07,-7.3265E-22,4.3728E-07,0,0,0,0,0,0,package://motar_mini/meshes/SWh1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/SWh1.STL,,Caster_40mm_Wheel_30mm_01-1,Origin_swheel1,Axis_swheel1,swheel1,continuous,0,-0.0154999999999993,-9.9999999999878E-05,0,0,0,SWhSup1,1,0,0,,,,,,,,,,,,
SWheel2,4.839E-08,0.0155,0.022137,0,0,0,0.002,1.3179E-07,-2.0283E-12,5.5707E-13,1.4756E-07,-1.059E-12,2.6348E-07,0,0,0,0,0,0,package://motar_mini/meshes/SWheel2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/SWheel2.STL,,Caster_40mm_Swivel_plate_01-2,Origin_splate2,Axis_splate2,splate2,fixed,0.168499999999998,-0.121,0.0150000000000028,0,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
SWhSup2,-0.00046958,-0.0066637,0.011394,0,0,0,0.003,2.9995E-07,-9.3755E-09,-1.2195E-08,2.9321E-07,-9.2072E-08,3.2439E-07,0,0,0,0,0,0,package://motar_mini/meshes/SWhSup2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/SWhSup2.STL,,Caster_40mm_Wheel_support_01-2,Origin_swhsup2,Axis_swhsup2,swhsup2,continuous,0,0.0154999999999999,0,0,0,0,SWheel2,0,0,1,,,,,,,,,,,,
SWh2,-1.8715E-07,0,1.4278E-06,0,0,0,0.006,7.3808E-07,-4.8488E-13,1.2219E-11,4.3737E-07,4.125E-22,4.3728E-07,0,0,0,0,0,0,package://motar_mini/meshes/SWh2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://motar_mini/meshes/SWh2.STL,,Caster_40mm_Wheel_30mm_01-2,Origin_swheel2,Axis_swheel2,swheel2,continuous,0,-0.0155,-9.99999999983237E-05,0,0,0,SWhSup2,1,0,0,,,,,,,,,,,,
Wheel2,0.013121,-2.7756E-17,-1.1102E-16,0,0,0,0.2,0.00032266,1.8433E-20,-9.7244E-21,0.00016712,-2.9887E-17,0.00016712,0,0,0,0,0,0,package://motar_mini/meshes/Wheel2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://motar_mini/meshes/Wheel2.STL,,Wheel 12mm-2,Origin_wheel2,Axis_wheel2,wheel2,continuous,-0.07,-0.125,0.06,-2.9167,0,-1.5708,base_link,-1,0,0,,,,,,,,,,,,
